size,path,id,color,name,entityID,order,s_height,height,guid,ground_lev,rise_by,level,coordinates
1000,city/house/house.52,house.52,"rgb(255, 183, 0)",国遥大厦6栋,8612e4c1-fe49-46e4-b014-c388055f9361,1.0,0.0,20.0,1f46eee5-5b55-46fd-ad14-5616d875c535,Raise or lower,20.0,0.0,"[[[119.97737592054946, 30.52273217246351], [119.97736252160358, 30.52271146769506], [119.97707890049901, 30.52266724430018], [119.97706187851468, 30.52268064039181], [119.97701270798171, 30.52290180180181], [119.9773333463057, 30.522942766572964], [119.97737592054946, 30.52273217246351]]]"
1000,city/house/house.53,house.53,"rgb(189, 186, 0)",,8937c0b2-04c3-487c-a2f7-a891574b0807,1.0,0.0,8.0,f6f809d3-43a0-4ac7-986c-d132d5ad9983,Raise or lower,8.0,0.0,"[[[119.9732179799783, 30.520611782252228], [119.97363549755332, 30.520633607039997], [119.97363975816343, 30.520567575220298], [119.97322220752922, 30.520545961136186], [119.9732179799783, 30.520611782252228]]]"
1000,city/house/house.54,house.54,"rgb(189, 186, 0)",,89f9b0f4-b7d4-40f6-974e-b7ae49b86b4e,1.0,0.0,4.0,aa028ca9-f5c4-47e3-97a5-253b3e9185cc,Raise or lower,4.0,0.0,"[[[119.97388980492185, 30.52052234887524], [119.97392202395673, 30.52052171497617], [119.97392098575725, 30.520466787135952], [119.97388814805937, 30.520468301104565], [119.97388980492185, 30.52052234887524]]]"
1000,city/house/house.55,house.55,"rgb(189, 186, 0)",,8b8ffd94-f358-4b46-8ddf-6f8ecd2dc610,1.0,0.0,4.0,f9299397-5b66-4569-b49d-b42981f23e25,Raise or lower,4.0,0.0,"[[[119.97338702236694, 30.520741567088123], [119.97339034735472, 30.52079474910766], [119.97341976640242, 30.520793248551648], [119.97341667412599, 30.520740043223054], [119.97338702236694, 30.520741567088123]]]"
1000,city/house/house.56,house.56,"rgb(189, 186, 0)",,94abb33e-40e7-4023-8b42-043a6c0f1a6e,1.0,0.0,4.0,6c6771d9-3e5c-4222-bb13-eaf33041c038,Raise or lower,4.0,0.0,"[[[119.97355887160543, 30.520732581127934], [119.97352834113869, 30.520733289442564], [119.973530103545, 30.520787792397826], [119.97356068345444, 30.520786731672064], [119.97355887160543, 30.520732581127934]]]"
1000,city/house/house.57,house.57,"rgb(189, 186, 0)",,9b6278ac-3fd1-4bde-ac06-ca644d1df93c,1.0,0.0,4.0,43669ee8-2fa4-4e7b-9ff0-3019e818511f,Raise or lower,4.0,0.0,"[[[119.97397848513995, 30.520437061977347], [119.97394779311752, 30.520441603941563], [119.9739586104953, 30.52049540646207], [119.97398918724006, 30.520491074776594], [119.97397848513995, 30.520437061977347]]]"
1000,city/house/house.58,house.58,"rgb(189, 186, 0)",,9e1aa008-ec03-403e-aa06-837dda7c7d27,1.0,0.0,9.0,c7ce12ed-dcd0-4628-a4d8-5d3125ebd636,Raise or lower,9.0,0.0,"[[[119.97480153960484, 30.521915821052207], [119.97478806199885, 30.521983570975962], [119.97501893627934, 30.522015192117188], [119.97503045620607, 30.52194715426723], [119.97480153960484, 30.521915821052207]]]"
1000,city/house/house.59,house.59,"rgb(189, 186, 0)",,a010a1c6-fee1-4f49-ad03-33afe977976f,1.0,0.0,4.0,6a3798cf-adaa-4c20-9d29-e6451d30133a,Raise or lower,4.0,0.0,"[[[119.97323404202477, 30.520735120142625], [119.9732024889436, 30.52073377129755], [119.97319935259299, 30.520787943127473], [119.97323127164863, 30.520789205944006], [119.97323404202477, 30.520735120142625]]]"
1000,city/house/house.60,house.60,"rgb(255, 183, 0)",A区3栋,a20865f3-90d9-49e6-a2b8-c144dbcaf6cd,1.0,0.0,22.0,9d193e0b-ca7a-4a23-b052-220e12e5f660,Raise or lower,22.0,0.0,"[[[119.97343132368643, 30.523335177421288], [119.97378118579712, 30.52330940109366], [119.97371593649328, 30.522665954506323], [119.97336668001846, 30.52269155599938], [119.97343132368643, 30.523335177421288]]]"
1000,city/house/house.61,house.61,"rgb(189, 186, 0)",,a5fa9b3a-fcee-4b4b-9f56-7b4037405f53,1.0,0.0,8.0,c2947c82-c00c-4229-904d-cfe989e27cab,Raise or lower,8.0,0.0,"[[[119.97312725392256, 30.520630194076837], [119.9731973838067, 30.520633599576897], [119.97320244620349, 30.520552544734166], [119.9731320771736, 30.52054926166202], [119.97312725392256, 30.520630194076837]]]"
