"~id","~start_node_id","~end_node_id","~relationship_type"
"844","4561","6742","exist_in"
"845","4029","6742","exist_in"
"846","4005","6742","exist_in"
"847","4562","6743","exist_in"
"848","4563","6743","exist_in"
"849","4022","6743","exist_in"
"850","4564","6744","exist_in"
"851","4565","6744","exist_in"
"852","4566","6744","exist_in"
"853","4424","6746","exist_in"
"854","4567","6746","exist_in"
"855","4568","6746","exist_in"
"856","4569","6746","exist_in"
"857","4570","6746","exist_in"
"858","4571","6746","exist_in"
"859","4572","6746","exist_in"
"860","4573","6746","exist_in"
"861","4339","6748","exist_in"
"862","4574","6749","exist_in"
"863","4575","6750","exist_in"
"864","4576","6751","exist_in"
"865","4577","6751","exist_in"
"866","4157","6751","exist_in"
"867","4039","6751","exist_in"
"868","4074","6751","exist_in"
"869","4190","6751","exist_in"
"870","4578","6751","exist_in"
"871","4579","6751","exist_in"
"872","4159","6751","exist_in"
"873","4580","6751","exist_in"
"874","4076","6751","exist_in"
"875","4035","6751","exist_in"
"876","4191","6751","exist_in"
"877","4581","6752","exist_in"
"878","4582","6752","exist_in"
"879","4583","6752","exist_in"
"880","4120","6753","exist_in"
"881","4584","6754","exist_in"
"882","4041","6754","exist_in"
"883","4265","6754","exist_in"
"884","4585","6754","exist_in"
"885","4586","6754","exist_in"
"886","4587","6754","exist_in"
"887","4588","6754","exist_in"
"888","4268","6754","exist_in"
"889","4589","6755","exist_in"
"890","4027","6757","exist_in"
"891","4019","6759","exist_in"
"892","4235","6759","exist_in"
"893","4590","6759","exist_in"
"894","4137","6759","exist_in"
"895","4591","6759","exist_in"
"896","4304","6760","exist_in"
"897","4030","6760","exist_in"
"898","4592","6760","exist_in"
"899","4020","6761","exist_in"
"900","4019","6761","exist_in"
"901","4021","6761","exist_in"
"902","4593","6761","exist_in"
"903","4022","6761","exist_in"
"904","4020","6762","exist_in"
"905","4068","6762","exist_in"
"906","4142","6763","exist_in"
"907","4143","6763","exist_in"
"908","4019","6765","exist_in"
"909","4594","6766","exist_in"
"910","4595","6766","exist_in"
"911","4596","6766","exist_in"
"912","4597","6766","exist_in"
"913","4598","6766","exist_in"
"914","4599","6767","exist_in"
"915","4600","6768","exist_in"
"916","4068","6770","exist_in"
"917","4601","6770","exist_in"
"918","4442","6770","exist_in"
"919","4602","6771","exist_in"
"920","4603","6771","exist_in"
"921","4604","6771","exist_in"
