size,path,id,color,name,coordinates,description,type,nodeVisibility
5000,LOC.43/DATA,LOC.43.DATA,#8579ec,landslide.LOC.43.DATA,"['104.3586', '33.7856']",,DATA,FALSE
10000,LOC.44,LOC.44,#2579e8,landslide.LOC.44,"['10.4515', '46.2322']",Alpine regions of northern Italy,LOC,FALSE
5000,LOC.44/MED,LOC.44.MED,#27cf7e,landslide.LOC.44.MED,"['10.4515', '46.2322']",,MED,FALSE
5000,LOC.44/FAC,LOC.44.FAC,#f0a73a,landslide.LOC.44.FAC,"['10.4515', '46.2322']",,FAC,FALSE
5000,LOC.44/DATA,LOC.44.DATA,#8579ec,landslide.LOC.44.DATA,"['10.4515', '46.2322']",,DATA,FALSE
10000,LOC.45,LOC.45,#2579e8,landslide.LOC.45,"['10.0', '45.0']",Alpine sector,LOC,FALSE
5000,LOC.45/MED,LOC.45.MED,#27cf7e,landslide.LOC.45.MED,"['10.0', '45.0']",,MED,FALSE
5000,LOC.45/FAC,LOC.45.FAC,#f0a73a,landslide.LOC.45.FAC,"['10.0', '45.0']",,FAC,FALSE
5000,LOC.45/DATA,LOC.45.DATA,#8579ec,landslide.LOC.45.DATA,"['10.0', '45.0']",,DATA,FALSE
10000,LOC.46,LOC.46,#2579e8,landslide.LOC.46,"['7.7964', '45.9458']",Alps,LOC,FALSE
5000,LOC.46/MED,LOC.46.MED,#27cf7e,landslide.LOC.46.MED,"['7.7964', '45.9458']",,MED,FALSE
5000,LOC.46/FAC,LOC.46.FAC,#f0a73a,landslide.LOC.46.FAC,"['7.7964', '45.9458']",,FAC,FALSE
5000,LOC.46/DATA,LOC.46.DATA,#8579ec,landslide.LOC.46.DATA,"['7.7964', '45.9458']",,DATA,FALSE
10000,LOC.47,LOC.47,#2579e8,landslide.LOC.47,"['128.1816', '3.6956']",Ambon,LOC,FALSE
5000,LOC.47/MED,LOC.47.MED,#27cf7e,landslide.LOC.47.MED,"['128.1816', '3.6956']",,MED,FALSE
5000,LOC.47/FAC,LOC.47.FAC,#f0a73a,landslide.LOC.47.FAC,"['128.1816', '3.6956']",,FAC,FALSE
5000,LOC.47/DATA,LOC.47.DATA,#8579ec,landslide.LOC.47.DATA,"['128.1816', '3.6956']",,DATA,FALSE
10000,LOC.48,LOC.48,#2579e8,landslide.LOC.48,"['113.5', '-0.5']",Ampel,LOC,FALSE
5000,LOC.48/MED,LOC.48.MED,#27cf7e,landslide.LOC.48.MED,"['113.5', '-0.5']",,MED,FALSE
5000,LOC.48/FAC,LOC.48.FAC,#f0a73a,landslide.LOC.48.FAC,"['113.5', '-0.5']",,FAC,FALSE
5000,LOC.48/DATA,LOC.48.DATA,#8579ec,landslide.LOC.48.DATA,"['113.5', '-0.5']",,DATA,FALSE
10000,LOC.49,LOC.49,#2579e8,landslide.LOC.49,"['33.4597', '38.5414']",Anatolian Fault Zone of Turkey,LOC,FALSE
5000,LOC.49/MED,LOC.49.MED,#27cf7e,landslide.LOC.49.MED,"['33.4597', '38.5414']",,MED,FALSE
5000,LOC.49/FAC,LOC.49.FAC,#f0a73a,landslide.LOC.49.FAC,"['33.4597', '38.5414']",,FAC,FALSE
5000,LOC.49/DATA,LOC.49.DATA,#8579ec,landslide.LOC.49.DATA,"['33.4597', '38.5414']",,DATA,FALSE
10000,LOC.50,LOC.50,#2579e8,landslide.LOC.50,"['149.9003', '61.2181']",Anchorage,LOC,FALSE
5000,LOC.50/MED,LOC.50.MED,#27cf7e,landslide.LOC.50.MED,"['149.9003', '61.2181']",,MED,FALSE
5000,LOC.50/FAC,LOC.50.FAC,#f0a73a,landslide.LOC.50.FAC,"['149.9003', '61.2181']",,FAC,FALSE
5000,LOC.50/DATA,LOC.50.DATA,#8579ec,landslide.LOC.50.DATA,"['149.9003', '61.2181']",,DATA,FALSE
10000,LOC.51,LOC.51,#2579e8,landslide.LOC.51,"['13.5189', '43.6158']",Ancona,LOC,FALSE
5000,LOC.51/MED,LOC.51.MED,#27cf7e,landslide.LOC.51.MED,"['13.5189', '43.6158']",,MED,FALSE
5000,LOC.51/FAC,LOC.51.FAC,#f0a73a,landslide.LOC.51.FAC,"['13.5189', '43.6158']",,FAC,FALSE
5000,LOC.51/DATA,LOC.51.DATA,#8579ec,landslide.LOC.51.DATA,"['13.5189', '43.6158']",,DATA,FALSE
10000,LOC.52,LOC.52,#2579e8,landslide.LOC.52,"['13.5189', '43.6158']",Ancona municipality on the Adriatic coast of central Italy,LOC,FALSE
